title,soldPrice,shippingPrice,totalPrice,currency,soldDate,listingUrl,marketplace,market,condition,graded,cardName,setName,setId,collectorNumber,language,variant,canonicalId
Charizard Base Set 4/102 Raw Near Mint Pokemon Card,250.00,5.00,255.00,AUD,2026-05-20,https://www.ebay.com.au/itm/example-001,ebay_au,AU,near_mint,false,Charizard,Base,base1,4,en,raw,
Charizard Base Set 4/102 Lightly Played Pokemon Card,180.00,5.00,185.00,AUD,2026-05-18,https://www.ebay.com.au/itm/example-002,ebay_au,AU,lightly_played,false,Charizard,Base,base1,4,en,raw,
Charizard Base Set #4 Pokemon TCG Card Raw NM,265.00,0.00,265.00,AUD,2026-05-22,https://www.ebay.com.au/itm/example-003,ebay_au,AU,near_mint,false,Charizard,Base,base1,4,en,raw,
Blastoise Base Set 2/102 Near Mint Raw Pokemon,90.00,5.00,95.00,AUD,2026-05-19,https://www.ebay.com.au/itm/example-004,ebay_au,AU,near_mint,false,Blastoise,Base,base1,2,en,raw,
Blastoise Base 2/102 Raw Ungraded Pokemon Card,85.00,5.00,90.00,AUD,2026-05-21,https://www.ebay.com.au/itm/example-005,ebay_au,AU,near_mint,false,Blastoise,Base,base1,2,en,raw,
Venusaur Base Set 15/102 NM Pokemon Card Raw,70.00,5.00,75.00,AUD,2026-05-17,https://www.ebay.com.au/itm/example-006,ebay_au,AU,near_mint,false,Venusaur,Base,base1,15,en,raw,
Pikachu Base Set 58/102 Near Mint Pokemon,12.00,3.00,15.00,AUD,2026-05-23,https://www.ebay.com.au/itm/example-007,ebay_au,AU,near_mint,false,Pikachu,Base,base1,58,en,raw,
Mewtwo Base Set 10/102 Raw NM Pokemon Card,55.00,5.00,60.00,AUD,2026-05-20,https://www.ebay.com.au/itm/example-008,ebay_au,AU,near_mint,false,Mewtwo,Base,base1,10,en,raw,
Charizard Base Set 4/102 Heavily Played Pokemon,80.00,5.00,85.00,AUD,2026-05-15,https://www.ebay.com.au/itm/example-009,ebay_au,AU,heavily_played,false,Charizard,Base,base1,4,en,raw,
リザードン 基本セット 4/102 ポケモンカード,3500.00,200.00,3700.00,JPY,2026-05-21,https://www.ebay.co.jp/itm/example-010,ebay_jp,JP,near_mint,false,Charizard,Base,base1,4,jp,raw,
Charizard Base Set lot x3 bundle pokemon cards,150.00,10.00,160.00,AUD,2026-05-20,https://www.ebay.com.au/itm/example-lot,ebay_au,AU,near_mint,false,Charizard,Base,base1,4,en,raw,
Charizard PROXY Base Set 4/102 custom card,5.00,2.00,7.00,AUD,2026-05-20,https://www.ebay.com.au/itm/example-proxy,ebay_au,AU,near_mint,false,Charizard,Base,base1,4,en,raw,
Charizard PTCGO digital code card pokemon online,1.00,0.00,1.00,AUD,2026-05-20,https://www.ebay.com.au/itm/example-digital,ebay_au,AU,near_mint,false,Charizard,Base,base1,4,en,raw,
Charizard Base Set 4/102 Damaged Poor Condition,15.00,5.00,20.00,AUD,2026-05-16,https://www.ebay.com.au/itm/example-damaged,ebay_au,AU,damaged,false,Charizard,Base,base1,4,en,raw,
